game_id,season,date,start_time,home_team,away_team,home_score,away_score,home_score_1h,away_score_1h,home_score_2h,away_score_2h,neutral_site,venue,game_date,pair_key,event_id,book,fetched_at,last_update,commence_time,home_team_name,away_team_name,market,period,moneyline_home,moneyline_away,home_spread,home_spread_price,away_spread,away_spread_price,total,over_price,under_price,odds_date
401826869,2025,2025-11-07,2025-11-08 00:00:00+00:00,Purdue Boilermakers,Oakland Golden Grizzlies,87,77,35,35,52,42,False,Mackey Arena,2025-11-07,oaklandgoldengrizzlies::purdueboilermakers,,,,,,,,,,,,,,,,,,,
401812786,2025,2025-11-07,2025-11-08 00:30:00+00:00,UConn Huskies,UMass Lowell River Hawks,110,47,64,17,46,30,False,PeoplesBank Arena,2025-11-07,umasslowellriverhawks::uconnhuskies,,,,,,,,,,,,,,,,,,,
401822330,2025,2025-11-07,2025-11-08 00:00:00+00:00,Kentucky Wildcats,Valparaiso Beacons,107,59,58,26,49,33,False,Rupp Arena,2025-11-07,valparaisobeacons::kentuckywildcats,,,,,,,,,,,,,,,,,,,
401819899,2025,2025-11-07,2025-11-08 01:00:00+00:00,Texas Tech Red Raiders,Sam Houston Bearkats,98,77,47,37,51,40,False,United Supermarkets Arena,2025-11-07,samhoustonbearkats::texastechredraiders,,,,,,,,,,,,,,,,,,,
401813757,2025,2025-11-07,2025-11-08 03:30:00+00:00,UCLA Bruins,Pepperdine Waves,74,63,37,28,37,35,False,Pauley Pavilion,2025-11-07,pepperdinewaves::uclabruins,,,,,,,,,,,,,,,,,,,
401824023,2025,2025-11-07,2025-11-08 02:00:00+00:00,Arizona Wildcats,Utah Tech Trailblazers,93,67,44,37,49,30,False,McKale Memorial Center,2025-11-07,utahtechtrailblazers::arizonawildcats,,,,,,,,,,,,,,,,,,,
401823225,2025,2025-11-07,2025-11-08 01:30:00+00:00,Illinois Fighting Illini,Florida Gulf Coast Eagles,113,70,59,27,54,43,False,State Farm Center,2025-11-07,floridagulfcoasteagles::illinoisfightingillini,,,,,,,,,,,,,,,,,,,
401817263,2025,2025-11-07,2025-11-08 00:00:00+00:00,North Carolina Tar Heels,Kansas Jayhawks,87,74,29,37,58,37,False,Dean E. Smith Center,2025-11-07,kansasjayhawks::northcarolinatarheels,,,,,,,,,,,,,,,,,,,
401823461,2025,2025-11-07,2025-11-08 01:30:00+00:00,Wisconsin Badgers,Northern Illinois Huskies,97,72,52,33,45,39,False,Kohl Center,2025-11-07,northernillinoishuskies::wisconsinbadgers,,,,,,,,,,,,,,,,,,,
401828911,2025,2025-11-07,2025-11-07 17:00:00+00:00,Evansville Purple Aces,Calumet Crimson Wave,92,50,44,25,48,25,False,Ford Center,2025-11-07,calumetcrimsonwave::evansvillepurpleaces,,,,,,,,,,,,,,,,,,,
401818367,2025,2025-11-07,2025-11-07 18:00:00+00:00,New Haven Chargers,Columbia Lions,53,71,18,42,35,29,False,Jeffery P. Hazell Athletics Center,2025-11-07,columbialions::newhavenchargers,,,,,,,,,,,,,,,,,,,
401829342,2025,2025-11-07,2025-11-07 18:30:00+00:00,UTSA Roadrunners,SIU Edwardsville Cougars,60,77,29,34,31,43,False,UTSA Convocation Center,2025-11-07,siuedwardsvillecougars::utsaroadrunners,,,,,,,,,,,,,,,,,,,
